"corp_name","ticker","corp_code","agency","long_term_rating","long_term_outlook","long_term_date","short_term_rating","short_term_outlook","short_term_date","source_url"
"LX인터내셔널","","","NICE신용평가","AA-","안정적","2026.06.23","","","","https://www.nicerating.com/"
"NICE인프라","","","NICE신용평가","","","","A1보증","","2026.03.30","https://www.nicerating.com/"
"OCI","","","NICE신용평가","A+","안정적","2026.05.28","","","","https://www.nicerating.com/"
"SBS","","","NICE신용평가","AA","안정적","2026.06.25","","","","https://www.nicerating.com/"
"SK","","","NICE신용평가","AA+","안정적","2026.03.19","A1","","2026.03.19","https://www.nicerating.com/"
"SKC","","","NICE신용평가","A","안정적","2026.06.17","A2","","2026.06.17","https://www.nicerating.com/"
"SK가스","","","NICE신용평가","AA-","안정적","2026.06.23","A1","","2026.06.23","https://www.nicerating.com/"
"SK네트웍스","","","NICE신용평가","AA-","안정적","2026.04.02","A1","","2026.04.02","https://www.nicerating.com/"
"SK이노베이션","","","NICE신용평가","AA","안정적","2026.06.12","A1","","2026.06.12","https://www.nicerating.com/"
"SK증권","","","NICE신용평가","A-","안정적","2026.06.24","A2","","2026.06.25","https://www.nicerating.com/"
"SK텔레콤","","","NICE신용평가","AAA","안정적","2026.06.19","A1","","2026.06.19","https://www.nicerating.com/"
"S-OIL","","","NICE신용평가","AA+","안정적","2026.03.25","","","","https://www.nicerating.com/"
"가나안","","","NICE신용평가","BBB","긍정적","2026.02.12","","","","https://www.nicerating.com/"
"가온전선","","","NICE신용평가","A","안정적","2026.06.26","A2","","2026.06.26","https://www.nicerating.com/"
"가온전선(주)","","","한국신용평가","A","안정적","2026.06.30","A2","","2026.06.30","https://www.kisrating.com/"
"강남제비스코(주)","","","한국신용평가","BBB-","안정적","2026.07.03","","","","https://www.kisrating.com/"
"갤럭시아머니트리(주)","","","한국신용평가","","","","A3","","2026.05.06","https://www.kisrating.com/"
"건설공제조합","","","한국신용평가","AA+","안정적","2026.06.26","","","","https://www.kisrating.com/"
"경기주택도시공사","","","NICE신용평가","AAA","안정적","2026.04.10","A1","","2026.04.10","https://www.nicerating.com/"
"경기주택도시공사","","","한국신용평가","AAA","안정적","2026.04.10","","","","https://www.kisrating.com/"
"경기평택항만공사","","","NICE신용평가","AA+","안정적","2026.06.29","","","","https://www.nicerating.com/"
"경기평택항만공사","","","한국신용평가","AA+","안정적","2026.06.05","","","","https://www.kisrating.com/"
"경남개발공사","","","NICE신용평가","AA+","안정적","2026.06.29","","","","https://www.nicerating.com/"
"경남개발공사","","","한국신용평가","AA+","안정적","2026.06.29","","","","https://www.kisrating.com/"
"경남은행","","","NICE신용평가","AA+","안정적","2026.07.08","","","","https://www.nicerating.com/"
"경상북도개발공사","","","NICE신용평가","AA+","안정적","2026.06.25","","","","https://www.nicerating.com/"
"경상북도개발공사","","","한국신용평가","AA+","안정적","2026.06.16","","","","https://www.kisrating.com/"
"고려아연","","","NICE신용평가","AA","안정적","2026.05.12","A1","","2026.05.12","https://www.nicerating.com/"
